data,comune,nuovi_positivi
2020-09-08,ficarazzi,2
2020-09-09,ficarazzi,1
2020-09-10,ficarazzi,0
2020-09-11,ficarazzi,0
2020-09-12,ficarazzi,0
2020-09-13,ficarazzi,0
2020-09-14,ficarazzi,0
2020-09-15,ficarazzi,0
2020-09-16,ficarazzi,0
2020-09-17,ficarazzi,0
2020-09-18,ficarazzi,0
2020-09-19,ficarazzi,0
2020-09-20,ficarazzi,0
2020-09-21,ficarazzi,2
2020-09-22,ficarazzi,0
2020-09-23,ficarazzi,0
2020-09-24,ficarazzi,0
2020-09-25,ficarazzi,0
2020-09-26,ficarazzi,0
2020-09-27,ficarazzi,0
2020-09-28,ficarazzi,0
2020-09-29,ficarazzi,0
2020-09-30,ficarazzi,0
2020-10-01,ficarazzi,0
2020-10-02,ficarazzi,0
2020-10-03,ficarazzi,0
2020-10-04,ficarazzi,0
2020-10-05,ficarazzi,0
2020-10-06,ficarazzi,0
2020-10-07,ficarazzi,0
2020-10-08,ficarazzi,0
2020-10-09,ficarazzi,0
2020-10-10,ficarazzi,1
2020-10-11,ficarazzi,0
2020-10-12,ficarazzi,0
2020-10-13,ficarazzi,0
2020-10-14,ficarazzi,2
2020-10-15,ficarazzi,0
2020-10-16,ficarazzi,0
2020-10-17,ficarazzi,3
2020-10-18,ficarazzi,0
2020-10-19,ficarazzi,0
2020-10-20,ficarazzi,4
2020-10-21,ficarazzi,1
2020-10-22,ficarazzi,0
2020-10-23,ficarazzi,1
2020-10-24,ficarazzi,8
2020-10-25,ficarazzi,0
2020-10-26,ficarazzi,2
2020-10-27,ficarazzi,6
2020-10-28,ficarazzi,4
2020-10-29,ficarazzi,3
2020-10-30,ficarazzi,0
2020-10-31,ficarazzi,4
2020-11-01,ficarazzi,0
2020-11-02,ficarazzi,0
2020-11-03,ficarazzi,0
2020-11-04,ficarazzi,1
2020-11-05,ficarazzi,2
2020-11-06,ficarazzi,6
2020-11-07,ficarazzi,4
2020-11-08,ficarazzi,4
2020-11-09,ficarazzi,1
2020-11-10,ficarazzi,2
2020-11-11,ficarazzi,10
2020-11-12,ficarazzi,20
2020-11-13,ficarazzi,16
2020-11-14,ficarazzi,14
2020-11-15,ficarazzi,10
2020-11-16,ficarazzi,3
2020-11-17,ficarazzi,3
2020-11-18,ficarazzi,0
2020-11-19,ficarazzi,1
2020-11-20,ficarazzi,4
2020-11-21,ficarazzi,5
2020-11-22,ficarazzi,4
2020-11-23,ficarazzi,0
2020-11-24,ficarazzi,4
2020-11-25,ficarazzi,1
2020-11-26,ficarazzi,8
2020-11-27,ficarazzi,0
2020-11-28,ficarazzi,0
2020-11-29,ficarazzi,5
2020-11-30,ficarazzi,5
2020-12-01,ficarazzi,3
2020-12-02,ficarazzi,0
2020-12-03,ficarazzi,1
2020-12-04,ficarazzi,0
2020-12-05,ficarazzi,3
2020-12-06,ficarazzi,1
2020-12-07,ficarazzi,3
2020-12-08,ficarazzi,5
2020-12-09,ficarazzi,0
2020-12-10,ficarazzi,2
2020-12-11,ficarazzi,11
2020-12-12,ficarazzi,2
2020-12-13,ficarazzi,2
2020-12-14,ficarazzi,3
2020-12-15,ficarazzi,4
2020-12-16,ficarazzi,1
2020-12-17,ficarazzi,1
2020-12-18,ficarazzi,4
2020-12-19,ficarazzi,10
2020-12-20,ficarazzi,0
2020-12-21,ficarazzi,2
2020-12-22,ficarazzi,7
2020-12-23,ficarazzi,3
2020-12-24,ficarazzi,1
2020-12-25,ficarazzi,4
2020-12-26,ficarazzi,2
2020-12-27,ficarazzi,0
2020-12-28,ficarazzi,4
2020-12-29,ficarazzi,4
2020-12-30,ficarazzi,8
2020-12-31,ficarazzi,2
2021-01-01,ficarazzi,1
2021-01-02,ficarazzi,9
2021-01-03,ficarazzi,3
2021-01-04,ficarazzi,11
2021-01-05,ficarazzi,6
2021-01-06,ficarazzi,0
2021-01-07,ficarazzi,24
2021-01-08,ficarazzi,3
2021-01-09,ficarazzi,0
2021-01-10,ficarazzi,0
2021-01-11,ficarazzi,3
2021-01-12,ficarazzi,1
2021-01-13,ficarazzi,3
2021-01-14,ficarazzi,18
2021-01-15,ficarazzi,8
2021-01-16,ficarazzi,4
2021-01-17,ficarazzi,1
2021-01-18,ficarazzi,2
2021-01-19,ficarazzi,0
2021-01-20,ficarazzi,3
2021-01-21,ficarazzi,3
2021-01-22,ficarazzi,2
2021-01-23,ficarazzi,9
2021-01-24,ficarazzi,0
2021-01-25,ficarazzi,0
2021-01-26,ficarazzi,2
2021-01-27,ficarazzi,19
2021-01-28,ficarazzi,1
2021-01-29,ficarazzi,9
2021-01-30,ficarazzi,0
2021-01-31,ficarazzi,1
2021-02-01,ficarazzi,0
2021-02-02,ficarazzi,1
2021-02-03,ficarazzi,0
2021-02-04,ficarazzi,13
2021-02-05,ficarazzi,0
2021-02-06,ficarazzi,5
2021-02-07,ficarazzi,1
2021-02-08,ficarazzi,0
2021-02-09,ficarazzi,0
2021-02-10,ficarazzi,6
2021-02-11,ficarazzi,4
2021-02-12,ficarazzi,0
2021-02-13,ficarazzi,0
2021-02-14,ficarazzi,10
2021-02-15,ficarazzi,0
2021-02-16,ficarazzi,2
2021-02-17,ficarazzi,1
2021-02-18,ficarazzi,6
2021-02-19,ficarazzi,0
2021-02-20,ficarazzi,0
2021-02-21,ficarazzi,1
2021-02-22,ficarazzi,1
2021-02-23,ficarazzi,2
2021-02-24,ficarazzi,0
2021-02-25,ficarazzi,5
2021-02-26,ficarazzi,1
2021-02-27,ficarazzi,2
2021-02-28,ficarazzi,0
2021-03-01,ficarazzi,0
2021-03-02,ficarazzi,3
2021-03-03,ficarazzi,0
2021-03-04,ficarazzi,0
2021-03-05,ficarazzi,1
2021-03-06,ficarazzi,1
2021-03-07,ficarazzi,5
2021-03-08,ficarazzi,1
2021-03-09,ficarazzi,10
2021-03-10,ficarazzi,0
2021-03-11,ficarazzi,3
2021-03-12,ficarazzi,2
2021-03-13,ficarazzi,6
2021-03-14,ficarazzi,0
2021-03-15,ficarazzi,0
2021-03-16,ficarazzi,1
2021-03-17,ficarazzi,6
2021-03-18,ficarazzi,5
2021-03-19,ficarazzi,3
2021-03-20,ficarazzi,1
2021-03-21,ficarazzi,0
2021-03-22,ficarazzi,1
2021-03-23,ficarazzi,5
2021-03-24,ficarazzi,0
2021-03-25,ficarazzi,3
2021-03-26,ficarazzi,0
2021-03-27,ficarazzi,11
2021-03-28,ficarazzi,0
2021-03-29,ficarazzi,3
2021-03-30,ficarazzi,4
2021-03-31,ficarazzi,2
2021-04-01,ficarazzi,11
2021-04-02,ficarazzi,2
2021-04-03,ficarazzi,1
2021-04-04,ficarazzi,0
2021-04-05,ficarazzi,1
2021-04-06,ficarazzi,1
2021-04-07,ficarazzi,6
